,target_id,tpm
1,A1BG,11.9038268946757
2,A1BG-AS1,0.932132548850591
3,A1CF,0.157918275920942
4,A2M,352.803989435971
5,A2M-AS1,2.51541232713551
6,A2ML1,0.94620150764218
7,A2ML1-AS1,0
8,A2ML1-AS2,0
9,A2MP1,0.00384936856075146
10,A3GALT2,0.448959640571567
11,A4GALT,17.0139924982187
12,A4GNT,0.310290357783546
13,AAAS,62.7671470105479
14,AACS,12.122674711
15,AACSP1,0.0172016346368639
16,AADAC,0.0601030297272644
17,AADACL2,0.0978691197746933
18,AADACL2-AS1,0
19,AADACL3,0.0128125616892466
20,AADACL4,0.110971191531059
21,AADACP1,0
22,AADAT,2.78849585079407
23,AAGAB,67.6402384466863
24,AAK1,66.5886388463974
25,AAMDC,16.8082430657282
26,AAMP,165.140065475665
27,AANAT,4.44216901681025
28,AAR2,22.760697600362
29,AARD,0.105465037023303
30,AARS,91.9644529253833
31,AARS2,16.1446638070746
32,AARSD1,79.8106046768662
33,AARSP1,0
34,AASDH,13.6238961316421
35,AASDHPPT,45.5224200063802
36,AASS,9.5551392342211
37,AATBC,0
38,AATF,82.6525606771683
39,AATK,3.76518355858374
40,AB015752.1,0
41,ABALON,3.46411003123
42,ABAT,17.6325151612296
43,ABBA01000935.1,0.0416150922325491
44,ABBA01000935.2,0.0416150922325491
45,ABBA01006766.1,0
46,ABBA01026962.1,0
47,ABCA1,49.1781912119195
48,ABCA10,5.35336511978137
49,ABCA11P,6.43549375534527
50,ABCA12,0.0754377998860009
51,ABCA13,1.34353236798253
52,ABCA17P,0.0230962212831527
53,ABCA2,37.8801434813957
54,ABCA3,8.52622485988745
55,ABCA4,16.9621503399944
56,ABCA5,27.6704393084484
57,ABCA6,42.1108027753752
58,ABCA7,66.1060637029828
59,ABCA8,14.6165772137414
60,ABCA9,17.0186748230787
61,ABCA9-AS1,0.375671479065149
62,ABCB1,25.3999256973074
63,ABCB10,11.8221871876759
64,ABCB10P1,0
65,ABCB10P3,0.000554421158807178
66,ABCB10P4,0
67,ABCB11,0.085692044847422
68,ABCB4,14.1305614375788
69,ABCB5,0.099215691582256
70,ABCB6,11.0600646222828
71,ABCB7,39.1679402171741
72,ABCB8,22.1794515351986
73,ABCB9,3.16502335160111
74,ABCC1,61.3300723151597
75,ABCC10,37.7132962247272
76,ABCC11,0.102628964560562
77,ABCC12,0.0458722103611366
78,ABCC13,0
79,ABCC2,1.59797423640241
80,ABCC3,22.5635457564806
81,ABCC4,27.0483344617507
82,ABCC5,52.8622750287404
83,ABCC5-AS1,0
84,ABCC6,3.68221234843035
85,ABCC6P1,0.501805445191666
86,ABCC6P2,0.694389918704482
87,ABCC8,9.14959796867031
88,ABCC9,6.82003902104044
89,ABCD1,15.0353418782721
90,ABCD1P2,0
91,ABCD1P3,0.0389584163303314
92,ABCD1P4,0
93,ABCD1P5,0.0282608870203543
94,ABCD2,3.66212024338157
95,ABCD3,22.4566117154841
96,ABCD4,54.3963975734246
97,ABCE1,97.9350036705182
98,ABCF1,176.132182638783
99,ABCF2,37.7690672076843
100,ABCF2P1,0.00914596644567
101,ABCF2P2,0
102,ABCF3,52.7648716598601
103,ABCG1,37.3727684391507
104,ABCG2,5.84050083407065
105,ABCG4,0.860794940506955
106,ABCG5,0.223560069106778
107,ABCG8,0.106708569234235
108,ABHD1,3.75237699535943
109,ABHD10,46.0457422612882
110,ABHD11,14.4025787777087
111,ABHD11-AS1,0
112,ABHD12,66.3667385525715
113,ABHD12B,0.185975218362154
114,ABHD13,5.26467044988613
115,ABHD14A,14.8609380476208
116,ABHD14A-ACY1,0.352999534358687
117,ABHD14B,25.8684305300677
118,ABHD15,4.77693272686275
119,ABHD15-AS1,0
120,ABHD16A,53.4659798356031
121,ABHD16B,4.98949015879987
122,ABHD17A,52.8499401263393
123,ABHD17AP1,1.72086262624279
124,ABHD17AP3,0.214760535605597
125,ABHD17AP4,0.17111916511072
126,ABHD17AP5,0.0606624381047354
127,ABHD17AP6,0.0604334344345577
128,ABHD17AP7,0
129,ABHD17AP8,0
130,ABHD17AP9,0
131,ABHD17B,14.3493806644174
132,ABHD17C,14.2132278998692
133,ABHD18,23.5877854246251
134,ABHD2,270.525187443715
135,ABHD3,32.4297499598259
136,ABHD4,20.2642911312169
137,ABHD5,13.8631868659375
138,ABHD6,13.1442512722397
139,ABHD8,13.5899011023911
140,ABI1,126.173713734419
141,ABI1P1,0
142,ABI2,91.0063069161174
143,ABI3,31.8038281086398
144,ABI3BP,193.015361833814
145,ABL1,43.6628645972369
146,ABL2,25.999874950597
147,ABLIM1,180.391176227212
148,ABLIM2,2.05666776552714
149,ABLIM3,12.1774909404314
150,ABO,0.794023668235875
151,ABR,266.40123130326
152,ABRA,0.207747795311475
153,ABRACL,63.437398537836
154,ABRAXAS1,13.4987474638639
155,ABRAXAS2,10.645347934148
156,ABT1,16.7956549220949
157,ABT1P1,0.379271937123885
158,ABTB1,27.0526310574199
159,ABTB2,2.569090074126
160,AC000032.1,2.04771251046156
161,AC000035.1,0
162,AC000036.1,0
163,AC000041.1,30.9559285477683
164,AC000058.1,0
165,AC000061.1,0
166,AC000067.1,0
167,AC000068.1,0
168,AC000068.2,0.849626197209195
169,AC000068.3,0
170,AC000077.1,0
171,AC000078.1,0
172,AC000081.1,0
173,AC000089.1,0.789292316926201
174,AC000093.1,0.0279209591913915
175,AC000095.1,0
176,AC000095.2,0.991327343080943
177,AC000099.1,0
178,AC000111.1,0
179,AC000111.2,0
180,AC000120.1,0
181,AC000120.2,0.00950670202331395
182,AC000120.3,11.543423353859
183,AC000123.1,0
184,AC000124.1,0
185,AC000362.1,0
186,AC000367.1,0.0778231482649585
187,AC000372.1,0
188,AC000374.1,0
189,AC000403.1,0
190,AC001226.1,0.046562795057699
191,AC001226.2,1.88313930461605
192,AC001228.1,0
193,AC001228.2,0
194,AC002044.1,0
195,AC002056.1,0.0163073285517715
196,AC002056.2,0
197,AC002056.3,0.0163073285517715
198,AC002059.1,0
199,AC002059.2,0
200,AC002059.3,0
201,AC002064.1,0
202,AC002064.2,0
203,AC002066.1,0
204,AC002069.1,0
205,AC002069.2,0
206,AC002070.1,0
207,AC002074.1,0
208,AC002074.2,0
209,AC002075.1,0
210,AC002075.2,0.388263456247386
211,AC002076.1,0.048292893901256
212,AC002076.2,0
213,AC002091.1,0
214,AC002091.2,0
215,AC002094.1,3.77520428811241
216,AC002094.2,0
217,AC002094.3,0
218,AC002094.4,0
219,AC002101.1,0
220,AC002115.1,0
221,AC002116.1,2.42074957463152
222,AC002116.2,4.61378578150853
223,AC002127.1,0
224,AC002127.2,0
225,AC002128.1,0.0188707468536809
226,AC002128.2,0
227,AC002306.1,0
228,AC002310.1,0.0621577168178854
229,AC002310.2,2.14296231842471
